Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,CA
90,22,21.1,8.7,6,50,0.101325,2500,1,0.5,1.25,36.24
91,22,21.1,8.7,6,75,0.101325,1250,0.5,1,1.25,29.64
92,22,21.1,8.7,6,75,0.101325,1250,1,1,1.25,27.18
93,22,21.1,8.7,6,25,0.101325,1250,3,1,1.25,0.54
94,22,21.1,8.7,6,25,0.101325,1250,5,1,1.25,0.708
95,22,21.1,8.7,6,25,0.101325,1250,10,1,1.25,0.678
96,22,21.1,8.7,6,25,0.101325,1250,15,1,1.25,0.7
97,22,21.1,8.7,6,50,0.101325,1250,5,1,1.25,0.588
98,22,21.1,8.7,6,50,0.101325,1250,10,1,1.25,0.6
99,22,21.1,8.7,6,50,0.101325,1250,15,1,1.25,0.6
100,22,21.1,8.7,6,75,0.101325,1250,5,1,1.25,0.624
101,22,21.1,8.7,6,75,0.101325,1250,10,1,1.25,0.732
102,22,21.1,8.7,6,75,0.101325,1250,15,1,1.25,0.524
103,22,21.1,8.7,6,50,0.101325,3125,5,0.4,1.25,2.43
104,22,21.1,8.7,6,50,0.101325,1250,5,1,1.25,0.828
105,22,19.5,8.7,6,50,0.101325,250,5,5,1.25,0.1272
106,22,18.8,8.7,6,50,0.101325,2500,1,0.5,1.25,44.64
107,22,18.8,8.7,6,50,0.101325,2500,1,0.5,1.25,32.04
108,22,18.8,8.7,6,50,0.101325,3125,5,0.4,1.25,5.31
109,22,21.2,8.4,6,30,0.101325,2000,2,5,10,1.3
110,22,21.2,8.4,6,30,0.101325,2000,2,5,10,4.35
111,22,21.2,8.4,6,30,0.101325,2000,10,5,10,1.21
112,22,21.2,8.4,6,30,0.101325,2000,10,5,10,3.38
113,22,21.2,8.4,6,30,0.101325,2000,30,5,10,0.96
114,22,21.2,8.4,6,30,0.101325,2000,30,5,10,2.84
115,22,21.2,8.4,6,30,0.101325,2000,60,5,10,0.77
116,22,21.2,8.4,6,30,0.101325,2000,60,5,10,4.5
117,22,19,7.1,4,30,0.3,250,60,1.1,0.28,6.33
118,22,19,7.1,4,50,0.3,250,60,1.1,0.28,3.06
119,22,19,8.4,4,30,0.3,250,60,2,0.5,1.48
120,22,19,8.4,4,50,0.3,250,60,2.15,0.54,1.27
121,22,19,8.4,5,30,0.3,250,60,2,0.5,1.7
122,22,19,8.4,5,50,0.3,250,60,2,0.5,0.5
123,22,20.5,8.4,5,30,0.3,250,60,2.01,0.5,1.46
124,22,20.5,8.4,5,50,0.3,250,60,1.94,0.49,2.42
125,22,20.5,8.4,6,25,0.1,250,5,5,1.25,3
126,40,20.5,8.4,6,25,0.1,250,5,5,1.25,124
127,72,20.5,8.4,6,25,0.1,250,5,5,1.25,21
128,22,20.5,8.4,6,25,0.1,250,1,5,1.25,3
129,22,20.5,8.4,6,50,0.1,250,1,5,1.25,5
130,22,20.5,8.4,6,50,0.1,250,5,5,1.25,4
131,40,21.1,8.7,6,25,0.1,250,5,5,1.25,335
132,72,21.1,8.7,6,25,0.1,250,5,5,1.25,29
133,22,21.1,8.7,6,50,0.1,250,1,5,1.25,36
134,22,21.1,8.7,6,75,0.1,250,1,5,1.25,27
135,22,21.1,8.7,6,90,0.1,250,1,5,1.25,14
136,22,20.5,1.9,6,25,0.1,250,30,5,1.25,0.2
137,22,20.5,0.1,6,25,0.1,250,30,5,1.25,0.04
138,22,18.8,8.7,6,25,0.1,250,1,5,1.25,45
139,22,18.8,8.7,6,25,0.1,250,1,5,1.25,32
140,22,18.8,8.7,6,25,0.1,250,5,5,1.25,5
141,22,25.5,8.4,6,25,0.1,250,30,5,1.25,0.3
142,22,27.6,8.4,6,25,0.1,250,30,5,1.25,0.2
143,22,21.1,8.7,6,25,0.1,2500,1,0.5,1.25,33.6
144,22,21.1,8.7,6,50,0.1,2500,0.5,0.5,1.25,40.8
145,22,21.1,8.7,6,50,0.1,2500,1,0.5,1.25,36
146,22,21.1,8.7,6,75,0.1,1250,0.5,1,1.25,30
147,22,21.1,8.7,6,75,0.1,1250,1,1,1.25,27
148,22,21.1,8.7,6,90,0.1,625,0.5,2,1.25,12
149,22,21.1,8.7,6,90,0.1,625,1,2,1.25,13.8
150,22,21.1,2.8,9,25,0.2,2500,30,25,62.5,1
151,22,21.1,2.8,9,25,0.1,2500,30,20,50,0.56
152,22,21.1,2.8,9,25,0.15,2500,30,20,50,0.74
153,22,21.1,2.8,9,25,0.2,2500,30,20,50,1
154,22,21.1,2.8,9,5,0.2,2500,30,20,50,0.915
155,22,21.1,2.8,9,50,0.2,2500,30,20,50,0.98
156,22,21.1,2.8,9,70,0.2,2500,30,20,50,1.24
157,40,20.5,8.4,6,50,0.9,2500,30,0.5,1.25,44.6
158,22,19,8.4,6,50,0.9,2500,30,0.5,1.25,21.4
159,40,23.1,8.4,6,25,0.101325,1250,10,0.5,0.625,66.7
160,40,23.1,8.4,6,25,0.101325,1250,10,0.5,0.625,50.2
161,40,18.6,0.1,8,25,0.101325,1250,10,0.5,0.625,23.7
162,40,20.5,8.4,6,25,0.1,6250,5,0.2,1.25,197
163,40,20.5,8.4,6,25,0.1,62500,5,0.02,1.25,550
164,40,20.5,8.4,6,25,0.1,125000,5,0.02,2.5,536
165,40,20.5,8.4,6,25,0.1,312500,5,0.02,6.25,494
