Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,MWD
90,22,21.1,8.7,6,25,0.101325,1250,15,1,1.25,1.13
91,22,21.1,8.7,6,50,0.101325,1250,5,1,1.25,1.06
92,22,21.1,8.7,6,50,0.101325,1250,10,1,1.25,1.14
93,22,21.1,8.7,6,50,0.101325,1250,15,1,1.25,1.19
94,22,21.1,8.7,6,75,0.101325,1250,5,1,1.25,1.3
95,22,21.1,8.7,6,75,0.101325,1250,10,1,1.25,1.65
96,22,21.1,8.7,6,75,0.101325,1250,15,1,1.25,2.05
97,22,21.1,8.7,6,50,0.101325,3125,5,0.4,1.25,1.25
98,22,21.1,8.7,6,50,0.101325,1250,5,1,1.25,1.05
99,22,19.5,8.7,6,50,0.101325,250,5,5,1.25,1.49
100,22,18.8,8.7,6,50,0.101325,2500,1,0.5,1.25,1.99
101,22,18.8,8.7,6,50,0.101325,2500,1,0.5,1.25,1.78
102,22,18.8,8.7,6,50,0.101325,3125,5,0.4,1.25,2.18
103,22,21.2,8.4,6,30,0.101325,2000,2,5,10,1.24
104,22,21.2,8.4,6,30,0.101325,2000,2,5,10,1.18
105,22,21.2,8.4,6,30,0.101325,2000,10,5,10,1.74
106,22,21.2,8.4,6,30,0.101325,2000,10,5,10,1.5
107,22,21.2,8.4,6,30,0.101325,2000,30,5,10,2.08
108,22,21.2,8.4,6,30,0.101325,2000,30,5,10,1.43
109,22,21.2,8.4,6,30,0.101325,2000,60,5,10,1.58
110,22,21.2,8.4,6,30,0.101325,2000,60,5,10,1.87
111,22,19,7.1,4,30,0.3,250,60,1.1,0.28,3.4
112,22,19,7.1,4,50,0.3,250,60,1.1,0.28,3.5
113,22,19,8.4,4,30,0.3,250,60,2,0.5,3.85
114,22,19,8.4,5,30,0.3,250,60,2,0.5,3.6
115,22,20.5,8.4,5,30,0.3,250,60,2.01,0.5,2.68
116,22,20.5,8.4,5,50,0.3,250,60,1.94,0.49,3.28
117,22,20.5,8.4,6,25,0.1,250,5,5,1.25,1.61
118,40,20.5,8.4,6,25,0.1,250,5,5,1.25,1.88
119,72,20.5,8.4,6,25,0.1,250,5,5,1.25,3.01
120,22,20.5,8.4,6,25,0.1,250,1,5,1.25,1.12
121,22,20.5,8.4,6,50,0.1,250,1,5,1.25,1.17
122,22,20.5,8.4,6,50,0.1,250,5,5,1.25,1.83
123,40,21.1,8.7,6,25,0.1,250,5,5,1.25,1.9
124,72,21.1,8.7,6,25,0.1,250,5,5,1.25,2.7
125,22,21.1,8.7,6,50,0.1,250,1,5,1.25,1.13
126,22,21.1,8.7,6,75,0.1,250,1,5,1.25,1.15
127,22,21.1,8.7,6,90,0.1,250,1,5,1.25,1.3
128,22,20.5,1.9,6,25,0.1,250,30,5,1.25,1.54
129,22,20.5,0.1,6,25,0.1,250,30,5,1.25,3.13
130,22,18.8,8.7,6,25,0.1,250,1,5,1.25,1.99
131,22,18.8,8.7,6,25,0.1,250,1,5,1.25,1.78
132,22,18.8,8.7,6,50,0.101325,3125,5,0.4,1.25,2.18
133,22,25.5,8.4,6,25,0.1,250,30,5,1.25,2.14
134,22,27.6,8.4,6,25,0.1,250,30,5,1.25,1.29
135,22,21.1,8.7,6,25,0.1,2500,1,0.5,1.25,1.13
136,22,21.1,8.7,6,50,0.1,2500,0.5,0.5,1.25,1.08
137,22,21.1,8.7,6,50,0.1,2500,1,0.5,1.25,1.13
138,22,21.1,8.7,6,75,0.1,1250,0.5,1,1.25,1.09
139,22,21.1,8.7,6,75,0.1,1250,1,1,1.25,1.15
140,22,21.1,8.7,6,90,0.1,625,0.5,2,1.25,1.22
141,22,21.1,8.7,6,90,0.1,625,1,2,1.25,1.3
142,22,21.1,2.8,9,25,0.2,2500,30,25,62.5,1.57
143,22,21.1,2.8,9,25,0.1,2500,30,20,50,1.53
144,22,21.1,2.8,9,25,0.15,2500,30,20,50,1.6
145,22,21.1,2.8,9,25,0.2,2500,30,20,50,1.6
146,22,21.1,2.8,9,5,0.2,2500,30,20,50,1.9
147,22,21.1,2.8,9,50,0.2,2500,30,20,50,2
148,22,21.1,2.8,9,70,0.2,2500,30,20,50,3
149,40,20.5,8.4,6,50,0.9,2500,30,0.5,1.25,2.38
150,22,19,8.4,6,50,0.9,2500,30,0.5,1.25,2.74
151,40,23.1,8.4,6,25,0.101325,1250,10,0.5,0.625,2.2
152,40,23.1,8.4,6,25,0.101325,1250,10,0.5,0.625,2.4
153,40,18.6,0.1,8,25,0.101325,1250,10,0.5,0.625,1.7
154,40,23.1,8.4,6,25,0.1,6250,5,0.2,1.25,1.8
155,40,16.9,8.4,6,25,0.1,6250,5,0.2,1.25,1.9
156,40,19.4,8.4,6,25,0.1,6250,5,0.2,1.25,1.9
157,40,18.8,8.4,6,25,0.1,6250,5,0.2,1.25,1.9
158,40,17.7,8.4,6,25,0.1,6250,5,0.2,1.25,1.8
159,40,17.7,8.4,4,25,0.1,6250,5,0.2,1.25,1.9
160,40,16.8,8.4,6,25,0.1,6250,5,0.2,1.25,1.8
161,40,17.5,8.4,6,25,0.1,6250,5,0.2,1.25,1.6
162,40,17.5,8.4,4,25,0.1,6250,5,0.2,1.25,1.6
163,40,23.1,8.4,6,25,0.1,6250,5,0.2,1.25,1.8
164,40,19,8.4,6,25,0.1,6250,5,0.2,1.25,1.8
165,40,19.4,8.4,6,25,0.1,6250,5,0.2,1.25,2.1
166,40,20.5,8.4,6,25,0.1,6250,5,0.2,1.25,2
167,40,25.5,8.4,6,25,0.1,6250,5,0.2,1.25,2.2
168,40,27.6,8.4,6,25,0.1,6250,5,0.2,1.25,2.1
169,40,27.6,8.4,6,25,0.1,500,5,0.5,0.25,2.12
170,40,27.6,8.4,6,25,0.1,900,5,0.5,0.25,2
171,40,27.6,8.4,6,25,0.1,1250,5,0.5,0.25,2.2
172,40,27.6,8.4,6,25,0.1,2500,5,0.5,0.25,2
173,40,27.6,8.4,6,25,0.1,5000,5,0.5,0.25,2.1
174,40,27.6,8.4,6,25,0.1,7500,5,0.5,0.25,2
175,40,27.6,8.4,6,25,0.1,12500,5,0.5,0.25,2.1
176,40,20.5,8.4,6,25,0.1,2500,5,0.5,1.25,2.38
177,40,27.6,8.4,6,25,0.1,2500,5,0.5,1.25,2.02
178,40,27.6,8.4,6,25,0.1,1250,5,0.5,0.625,2.26
179,40,27.6,8.4,6,25,0.1,500,5,0.5,0.25,2.12
180,40,27.6,8.4,6,25,0.1,900,5,0.5,0.25,2.04
181,40,27.6,8.4,6,25,0.1,1250,5,0.5,0.25,2.22
182,40,27.6,8.4,6,25,0.1,2500,5,0.5,0.25,1.97
183,40,27.6,8.4,6,25,0.1,5000,5,0.5,0.25,2.05
184,40,27.6,8.4,6,25,0.1,7500,5,0.5,0.25,1.99
185,40,27.6,8.4,6,25,0.1,12500,5,0.5,0.25,2.12
186,40,27.6,8.4,6,25,0.1,900,5,0.5,0.25,2.04
187,40,27.6,8.4,6,25,0.1,900,15,0.5,0.25,2.84
188,40,27.6,8.4,6,25,0.1,900,30,0.5,0.25,5.88
189,40,16.8,8.4,6,25,0.1,1250,5,0.5,0.625,2
190,40,17.5,8.4,6,25,0.1,1250,5,0.5,0.625,1.7
191,40,17.5,8.4,4,25,0.1,1250,5,0.5,0.625,1.7
192,40,23.1,8.4,6,25,0.1,1250,5,0.5,0.625,2.1
193,40,19,8.4,6,25,0.1,1250,5,0.5,0.625,1.7
194,40,19.4,8.4,6,25,0.1,1250,5,0.5,0.625,2.7
195,40,19,2.9,2,25,0.1,1250,5,0.5,0.625,1.8
196,40,19.4,2.9,2,25,0.1,1250,5,0.5,0.625,2.5
197,40,16.8,8.4,6,25,0.1,12500,5,0.1,1.25,1.9
