Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,MW
5,22,21.1,0.1,6,25,0.101325,250,1.0,5.0,1.25,4.4
216,22,20.3,8.4,6,40,0.5,2000,20.0,5.0,10.0,7.62
139,22,21.1,0.9,6,60,0.3,2000,50.0,10.0,20.0,15.33
98,22,21.1,8.7,6,75,0.1,250,1.0,5.0,1.25,32.9
175,40,27.6,8.4,6,25,0.1,2500,5.0,0.5,1.25,0.48
9,22,21.2,8.4,6,30,0.101325,2000,60.0,2.0,4.0,25.5
84,22,20.5,8.4,5,30,0.3,250,60.0,2.01,0.5,35.14
86,22,20.5,8.4,6,25,0.1,250,5.0,5.0,1.25,17.0
114,22,20.5,0.1,6,40,0.5,2000,50.0,20.0,40.0,14.78
14,22,20.1,8.4,6,20,0.1,1250,20.0,1.0,1.25,114.0
34,22,20.1,8.4,6,30,0.1,1450,20.0,1.0,1.45,118.0
22,22,20.1,8.4,6,50,0.1,1250,20.0,1.0,1.25,94.0
109,22,18.8,8.7,6,25,0.1,250,1.0,5.0,1.25,12.9
104,22,21.1,0.1,6,25,0.1,250,1.0,5.0,1.25,4.4
159,22,21.1,8.7,6,75,0.1,1250,1.0,1.0,1.25,27.2
173,40,27.6,8.4,6,25,0.1,6250,5.0,0.2,1.25,0.65
70,22,21.1,8.7,6,50,0.101325,3125,5.0,0.4,1.25,14.5
90,22,20.5,8.4,6,50,0.1,250,1.0,5.0,1.25,6.5
3,22,21.1,4.7,6,25,0.101325,250,1.0,5.0,1.25,5.1
20,22,20.1,8.4,6,30,0.1,1250,20.0,1.0,1.25,136.0
68,22,21.1,8.7,6,75,0.101325,1250,10.0,1.0,1.25,13.5
193,40,21.1,8.7,5,29,0.1,2500,5.0,0.5,1.25,12.87
52,22,20.5,8.4,4,25,0.101325,250,30.0,5.0,1.25,46.64
79,22,21.2,8.4,6,30,0.101325,2000,10.0,5.0,10.0,52.13
44,22,20.1,8.4,6,40,0.4,1450,20.0,3.0,4.35,128.0
143,22,21.1,0.9,6,80,0.5,2000,50.0,10.0,20.0,44.29
65,22,21.1,8.7,6,50,0.101325,1250,10.0,1.0,1.25,9.5
67,22,21.1,8.7,6,75,0.101325,1250,5.0,1.0,1.25,8.2
211,22,20.5,8.4,6,40,0.5,2000,20.0,5.0,10.0,26.36
62,22,21.1,8.7,6,25,0.101325,1250,10.0,1.0,1.25,10.3
21,22,20.1,8.4,6,40,0.1,1250,20.0,1.0,1.25,127.0
161,40,16.9,8.4,6,25,0.1,6250,5.0,0.2,1.25,0.14
169,40,27.6,8.4,6,25,0.1,6250,5.0,0.2,1.25,1.84
201,72,21.1,9.1,3,80,0.4,2000,30.0,0.25,0.5,39.0
15,22,20.1,8.4,6,30,0.1,1250,20.0,1.0,1.25,105.0
141,22,21.1,0.9,6,60,1.0,2000,50.0,10.0,20.0,40.0
188,40,17.5,8.4,6,25,0.1,12500,5.0,0.1,1.25,0.13
140,22,21.1,0.9,6,60,0.5,2000,50.0,10.0,20.0,33.0
76,22,21.2,8.4,6,30,0.101325,2000,2.0,5.0,10.0,27.14
80,22,21.2,8.4,6,30,0.101325,2000,30.0,5.0,10.0,53.17
23,22,20.1,8.4,6,60,0.1,1250,20.0,1.0,1.25,75.0
59,22,21.1,8.7,6,75,0.101325,1250,1.0,1.0,1.25,32.9
102,22,21.1,4.7,6,25,0.1,250,1.0,5.0,1.25,5.1
110,22,18.8,8.7,6,25,0.1,250,5.0,5.0,1.25,12.8
33,22,20.1,8.4,6,30,0.1,1450,10.0,1.0,1.45,119.0
196,72,25.5,8.4,6,30,0.4,2000,30.0,0.5,1.0,7.4
74,22,18.8,8.7,6,50,0.101325,2500,1.0,0.5,1.25,12.9
181,40,17.5,8.4,4,25,0.1,1250,5.0,0.5,0.625,0.12
56,22,21.1,8.7,6,50,0.101325,2500,0.5,0.5,1.25,25.7
160,22,23.1,8.4,6,90,0.1,625,1.0,2.0,1.25,16.7
36,22,20.1,8.4,6,30,0.1,2050,20.0,1.0,2.05,112.0
50,22,25.5,8.4,6,25,0.101325,250,30.0,5.0,1.25,16.59
