Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,MW
92,22,20.5,1.9,6,50,0.1,250,1,5,1.25,0.9
93,22,20.5,8.4,6,50,0.1,250,5,5,1.25,13.2
94,22,20.5,1.9,6,50,0.1,250,5,5,1.25,2.4
95,40,21.1,8.7,6,25,0.1,250,5,5,1.25,8.3
96,72,21.1,8.7,6,25,0.1,250,5,5,1.25,15.2
97,22,21.1,8.7,6,50,0.1,250,1,5,1.25,42.4
98,22,21.1,8.7,6,75,0.1,250,1,5,1.25,32.9
99,22,21.1,8.7,6,90,0.1,250,1,5,1.25,16.7
100,22,20.5,1.9,6,25,0.1,250,30,5,1.25,40.2
101,22,20.5,0.1,6,25,0.1,250,30,5,1.25,6.6
102,22,21.1,4.7,6,25,0.1,250,1,5,1.25,5.1
103,22,21.1,2,6,25,0.1,250,1,5,1.25,7.5
104,22,21.1,0.1,6,25,0.1,250,1,5,1.25,4.4
105,22,21.1,8.7,6,25,0.1,250,5,5,1.25,14.5
106,22,21.1,8.7,6,25,0.1,250,5,5,1.25,6.4
107,22,19.5,8.7,6,25,0.1,250,5,5,1.25,13
108,22,18.8,8.7,6,25,0.1,250,1,5,1.25,9.8
109,22,18.8,8.7,6,25,0.1,250,1,5,1.25,12.9
110,22,18.8,8.7,6,25,0.1,250,5,5,1.25,12.8
111,22,25.5,8.4,6,25,0.1,250,30,5,1.25,35.5
112,22,27.6,8.4,6,25,0.1,250,30,5,1.25,29.6
113,22,20.5,0.1,6,60,0.3,2000,50,20,40,16.54
114,22,20.5,0.1,6,40,0.5,2000,50,20,40,14.78
115,22,20.5,0.1,6,60,0.5,2000,50,20,40,15
116,22,20.5,0.1,6,80,0.5,2000,50,20,40,14.86
117,22,20.5,0.1,6,60,1,2000,50,10,20,13.7
118,22,29.3,0.1,6,60,0.3,2000,50,10,20,5.51
119,22,29.3,0.1,6,40,0.5,2000,50,5,10,9.3
120,22,29.3,0.1,6,60,0.5,2000,50,5,10,8.22
121,22,29.3,0.1,6,80,0.5,2000,50,5,10,8.22
122,22,29.3,0.1,6,60,1,2000,50,10,20,20.23
123,22,37.4,0.1,6,60,0.3,2000,50,20,40,3.99
124,22,37.4,0.1,6,60,0.5,2000,50,20,40,2.14
125,22,37.4,0.1,6,60,1,2000,50,20,40,1.7
126,22,37.4,0.1,6,40,0.5,2000,50,20,40,6.91
127,22,37.4,0.1,6,80,0.5,2000,50,20,40,6.74
128,22,19.9,0.1,6,60,0.3,2000,50,20,40,2.64
129,22,19.9,0.1,6,60,0.5,2000,50,20,40,4.03
130,22,19.9,0.1,6,60,1,2000,50,20,40,0.61
131,22,19.9,0.1,6,40,0.5,2000,50,20,40,6.91
132,22,19.9,0.1,6,80,0.5,2000,50,20,40,8.4
133,22,21.1,0.1,6,60,0.3,2000,50,20,40,3.97
134,22,21.1,0.1,6,60,0.5,2000,50,20,40,8.43
135,22,21.1,0.1,6,60,1,2000,50,10,20,32.67
136,22,21.1,0.1,6,40,0.5,2000,50,20,40,15.22
137,22,21.1,0.1,6,80,0.5,2000,50,20,40,14.39
138,22,21.1,0.1,6,100,1,2000,50,10,20,68.13
139,22,21.1,0.9,6,60,0.3,2000,50,10,20,15.33
140,22,21.1,0.9,6,60,0.5,2000,50,10,20,33
141,22,21.1,0.9,6,60,1,2000,50,10,20,40
142,22,21.1,0.9,6,40,0.5,2000,50,10,20,15.33
143,22,21.1,0.9,6,80,0.5,2000,50,10,20,44.29
144,22,21.1,8.7,6,25,0.1,2500,1,0.5,1.25,41.2
145,22,21.1,8.7,6,50,0.1,2500,0.5,0.5,1.25,25.7
146,22,21.1,8.7,6,50,0.1,2500,1,0.5,1.25,42.4
147,22,21.1,8.7,6,75,0.1,1250,0.5,1,1.25,21.4
148,22,21.1,8.7,6,75,0.1,1250,1,1,1.25,32.9
149,22,21.1,8.7,6,90,0.1,625,0.5,2,1.25,10.2
150,22,21.1,8.7,6,90,0.1,625,1,2,1.25,16.7
151,22,20.5,8.4,6,50,0.9,2500,30,0.5,1.25,19.5
152,22,19,8.4,6,50,0.9,2500,30,0.5,1.25,22.81
153,22,20.5,2.1,6,50,0.9,2500,30,0.5,1.25,11.06
154,22,20.5,8.4,1,50,0.9,2500,30,0.5,1.25,22.4
155,22,21.1,8.7,6,25,0.1,2500,0.5,0.5,1.25,19.1
156,22,21.1,8.7,6,25,0.1,2500,1,0.5,1.25,41.2
157,22,21.1,8.7,6,50,0.1,2500,0.5,0.5,1.25,25.7
158,22,21.1,8.7,6,50,0.1,2500,1,0.5,1.25,42.4
159,22,21.1,8.7,6,75,0.1,1250,1,1,1.25,27.2
160,22,23.1,8.4,6,90,0.1,625,1,2,1.25,16.7
161,40,16.9,8.4,6,25,0.1,6250,5,0.2,1.25,0.14
162,40,19.4,8.4,6,25,0.1,6250,5,0.2,1.25,0.28
163,40,18.8,8.4,6,25,0.1,6250,5,0.2,1.25,0.77
164,40,17.7,8.4,6,25,0.1,6250,5,0.2,1.25,0.54
165,40,17.7,8.4,4,25,0.1,6250,5,0.2,1.25,0.53
166,40,16.8,8.4,6,25,0.1,6250,5,0.2,1.25,0.27
167,40,17.5,8.4,6,25,0.1,6250,5,0.2,1.25,0.12
168,40,17.5,8.4,4,25,0.1,6250,5,0.2,1.25,0.12
169,40,27.6,8.4,6,25,0.1,6250,5,0.2,1.25,1.84
170,40,27.6,8.4,6,25,0.1,6250,5,0.2,1.25,1.29
171,40,27.6,8.4,6,25,0.1,6250,5,0.2,1.25,0.93
172,40,27.6,8.4,6,25,0.1,6250,5,0.2,1.25,0.63
173,40,27.6,8.4,6,25,0.1,6250,5,0.2,1.25,0.65
174,40,27.6,8.4,6,25,0.1,6250,5,0.2,1.25,0.6
175,40,27.6,8.4,6,25,0.1,2500,5,0.5,1.25,0.48
176,40,27.6,8.4,6,25,0.1,2500,5,0.5,1.25,1.8
177,40,27.6,8.4,6,25,0.1,1250,5,0.5,0.625,2.2
178,40,27.6,8.4,6,25,0.1,500,5,0.5,0.25,3.43
179,40,16.8,8.4,6,25,0.1,1250,5,0.5,0.625,0.22
