Entry,M,R1,R2,R3,T,P,Al/M,Time,Cat,Cocat,MWD
72,22,21.1,1.7,8,30,0.101325,1825,60.0,2.0,1.65,1.1
7,22,21.2,8.4,6,30,0.101325,2000,10.0,2.0,4.0,1.17
107,22,21.2,8.4,6,30,0.101325,2000,30.0,5.0,10.0,2.08
134,22,27.6,8.4,6,25,0.1,250,30.0,5.0,1.25,1.29
84,22,21.1,8.7,6,50,0.101325,2500,1.0,0.5,1.25,1.13
161,40,17.5,8.4,6,25,0.1,6250,5.0,0.2,1.25,1.6
52,22,21.1,1.7,8,20,0.101325,625,20.0,2.0,1.25,1.14
195,40,19.0,2.9,2,25,0.1,1250,5.0,0.5,0.625,1.8
182,40,27.6,8.4,6,25,0.1,2500,5.0,0.5,0.25,1.97
211,72,21.1,9.1,3,80,0.4,2000,30.0,0.25,0.5,4.0
121,22,20.5,8.4,6,50,0.1,250,1.0,5.0,1.25,1.17
68,22,21.1,1.7,8,30,0.101325,1825,20.0,2.0,1.65,1.23
4,22,21.1,2.0,6,25,0.101325,250,1.0,5.0,1.25,1.16
59,22,21.1,2.8,9,40,0.101325,625,20.0,2.0,1.25,1.27
147,22,21.1,2.8,9,50,0.2,2500,30.0,20.0,50.0,2.0
124,72,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,2.7
165,40,19.4,8.4,6,25,0.1,6250,5.0,0.2,1.25,2.1
105,22,21.2,8.4,6,30,0.101325,2000,10.0,5.0,10.0,1.74
106,22,21.2,8.4,6,30,0.101325,2000,10.0,5.0,10.0,1.5
88,22,21.1,8.7,6,25,0.101325,1250,5.0,1.0,1.25,1.07
119,72,20.5,8.4,6,25,0.1,250,5.0,5.0,1.25,3.01
131,22,18.8,8.7,6,25,0.1,250,1.0,5.0,1.25,1.78
14,22,20.1,8.4,6,20,0.1,1250,20.0,1.0,1.25,1.72
60,22,21.1,2.8,9,50,0.101325,625,20.0,2.0,1.25,1.26
63,22,21.1,1.7,8,30,0.101325,833,20.0,3.0,2.5,1.13
123,40,21.1,8.7,6,25,0.1,250,5.0,5.0,1.25,1.9
172,40,27.6,8.4,6,25,0.1,2500,5.0,0.5,0.25,2.0
8,22,21.2,8.4,6,30,0.101325,2000,30.0,2.0,4.0,1.43
141,22,21.1,8.7,6,90,0.1,625,1.0,2.0,1.25,1.3
65,22,21.1,1.7,8,30,0.101325,500,20.0,5.0,2.5,1.18
163,40,23.1,8.4,6,25,0.1,6250,5.0,0.2,1.25,1.8
130,22,18.8,8.7,6,25,0.1,250,1.0,5.0,1.25,1.99
9,22,21.2,8.4,6,30,0.101325,2000,60.0,2.0,4.0,1.45
66,22,21.1,1.7,8,30,0.101325,417,20.0,6.0,2.5,1.24
108,22,21.2,8.4,6,30,0.101325,2000,30.0,5.0,10.0,1.43
46,22,21.1,1.1,7,10,0.101325,625,20.0,2.0,1.25,1.13
171,40,27.6,8.4,6,25,0.1,1250,5.0,0.5,0.25,2.2
174,40,27.6,8.4,6,25,0.1,7500,5.0,0.5,0.25,2.0
30,22,20.1,8.4,6,30,0.1,1250,20.0,1.0,1.25,1.8
185,40,27.6,8.4,6,25,0.1,12500,5.0,0.5,0.25,2.12
104,22,21.2,8.4,6,30,0.101325,2000,2.0,5.0,10.0,1.18
64,22,21.1,1.7,8,30,0.101325,625,20.0,4.0,2.5,1.16
212,72,21.1,9.1,3,30,0.4,2000,30.0,0.25,0.5,2.6
49,22,21.1,1.1,7,40,0.101325,625,20.0,2.0,1.25,1.17
140,22,21.1,8.7,6,90,0.1,625,0.5,2.0,1.25,1.22
215,40,20.5,8.4,6,25,0.1,12500,5.0,0.1,1.25,2.06
23,22,20.1,8.4,6,60,0.1,1250,20.0,1.0,1.25,1.63
44,22,20.1,8.4,6,40,0.4,1450,20.0,3.0,4.35,1.65
229,22,20.3,8.4,6,60,0.5,2000,20.0,5.0,10.0,2.3
230,22,20.3,8.4,6,80,0.5,2000,20.0,5.0,10.0,2.1
142,22,21.1,2.8,9,25,0.2,2500,30.0,25.0,62.5,1.57
95,22,21.1,8.7,6,75,0.101325,1250,10.0,1.0,1.25,1.65
177,40,27.6,8.4,6,25,0.1,2500,5.0,0.5,1.25,2.02
136,22,21.1,8.7,6,50,0.1,2500,0.5,0.5,1.25,1.08
91,22,21.1,8.7,6,50,0.101325,1250,5.0,1.0,1.25,1.06
200,40,23.1,8.4,6,25,0.1,12500,5.0,0.1,1.25,1.9
19,22,20.1,8.4,6,20,0.1,1250,20.0,1.0,1.25,1.68
231,22,20.3,8.4,6,60,1.0,2000,10.0,5.0,10.0,2.0
127,22,21.1,8.7,6,90,0.1,250,1.0,5.0,1.25,1.3
149,40,20.5,8.4,6,50,0.9,2500,30.0,0.5,1.25,2.38
192,40,23.1,8.4,6,25,0.1,1250,5.0,0.5,0.625,2.1
197,40,16.8,8.4,6,25,0.1,12500,5.0,0.1,1.25,1.9
58,22,21.1,2.8,9,30,0.101325,625,20.0,2.0,1.25,1.16
133,22,25.5,8.4,6,25,0.1,250,30.0,5.0,1.25,2.14
207,72,23.5,9.1,3,80,0.4,2000,30.0,0.1,0.2,2.6
62,22,21.1,1.7,8,30,0.101325,1250,20.0,2.0,2.5,1.11
158,40,17.7,8.4,6,25,0.1,6250,5.0,0.2,1.25,1.8
70,22,21.1,1.7,8,30,0.101325,1825,40.0,2.0,1.65,1.15
120,22,20.5,8.4,6,25,0.1,250,1.0,5.0,1.25,1.12
87,22,21.1,8.7,6,25,0.101325,1250,3.0,1.0,1.25,1.05
